Date,Nasdaq Change %,Nasdaq Trend,S&P500 Change %,S&P500 Trend,DJI Change %,DJI Trend,VIX Change %,VIX Trend
8/14/2009,1.0800,1,-0.85,0,-0.82,0,-1.78,0
8/17/2009,-1.4600,0,-2.43,0,-2.00,0,14.92,1
8/18/2009,-1.0400,0,1.01,1,0.90,1,-6.13,0
8/19/2009,0.9700,1,0.69,1,0.66,1,0.31,1
8/20/2009,1.1300,1,1.09,1,0.76,1,-4.46,0
8/21/2009,1.1400,1,1.86,1,1.67,1,-0.32,0
8/24/2009,-3.4100,0,-0.05,0,0.03,1,0.52,1
8/25/2009,0.0800,1,0.24,1,0.32,1,-0.88,0
8/26/2009,-0.4100,0,0.01,1,0.04,1,0.12,1
8/27/2009,-0.2600,0,0.28,1,0.39,1,-1.08,0
8/28/2009,-1.9600,0,-0.20,0,-0.38,0,0.32,1
8/31/2009,-0.5000,0,-0.81,0,-0.50,0,5.05,1
9/1/2009,1.5800,1,-2.21,0,-1.96,0,12.07,1
9/2/2009,-0.1600,0,-0.33,0,-0.32,0,-0.86,0
9/3/2009,-0.5700,0,0.85,1,0.69,1,-6.23,0
9/4/2009,-0.8100,0,1.31,1,1.03,1,-6.79,0
9/8/2009,0.1900,1,0.88,1,0.59,1,1.43,1
9/9/2009,0.3400,1,0.78,1,0.53,1,-5.07,0
9/10/2009,0.2100,1,1.04,1,0.84,1,-3.17,0
9/11/2009,-0.2300,0,-0.14,0,-0.23,0,2.55,1
9/14/2009,1.3200,1,0.63,1,0.22,1,-1.20,0
9/15/2009,0.2200,1,0.31,1,0.59,1,-1.84,0
9/16/2009,0.0200,1,1.53,1,1.12,1,1.15,1
9/17/2009,-0.0500,0,-0.31,0,-0.08,0,-0.17,0
9/18/2009,0.3000,1,0.26,1,0.37,1,1.14,1
9/21/2009,-0.1000,0,-0.34,0,-0.42,0,0.59,1
9/22/2009,0.4600,1,0.66,1,0.52,1,-4.07,0
9/23/2009,-0.2100,0,-1.01,0,-0.83,0,1.78,1
9/24/2009,0.6900,1,-0.95,0,-0.42,0,6.22,1
9/25/2009,-0.5600,0,-0.61,0,-0.44,0,2.65,1
9/28/2009,0.1900,1,1.78,1,1.28,1,-2.85,0
9/29/2009,0.5900,1,-0.22,0,-0.48,0,1.25,1
9/30/2009,-0.0500,0,-0.33,0,-0.31,0,1.67,1
10/1/2009,0.6000,1,-2.58,0,-2.09,0,10.39,1
10/2/2009,0.2500,1,-0.45,0,-0.23,0,1.45,1
10/5/2009,1.2900,1,1.49,1,1.18,1,-6.42,0
10/6/2009,0.7800,1,1.37,1,1.37,1,-4.25,0
10/7/2009,0.3400,1,0.27,1,-0.06,0,-3.97,0
10/8/2009,-0.6300,0,0.75,1,0.63,1,-2.03,0
10/9/2009,0.7100,1,0.56,1,0.80,1,-4.38,0
10/12/2009,-0.0700,0,0.44,1,0.21,1,-0.48,0
10/13/2009,-2.5000,0,-0.28,0,-0.15,0,-0.09,0
10/14/2009,1.4200,1,1.75,1,1.47,1,-0.57,0
10/15/2009,0.0600,1,0.42,1,0.47,1,-4.99,0
10/16/2009,0.1200,1,-0.81,0,-0.67,0,-1.34,0
10/19/2009,0.3400,1,0.94,1,0.96,1,0.28,1
10/20/2009,0.7600,1,-0.62,0,-0.50,0,-2.75,0
10/21/2009,-0.1600,0,-0.89,0,-0.92,0,6.32,1
10/22/2009,0.6900,1,1.06,1,1.33,1,-6.89,0
10/23/2009,0.4400,1,-1.22,0,-1.08,0,7.64,1
10/26/2009,2.0200,1,-1.17,0,-1.05,0,9.16,1
10/27/2009,-0.1800,0,-0.33,0,0.14,1,2.14,1
10/28/2009,-1.1300,0,-1.95,0,-1.21,0,12.40,1
10/29/2009,-0.9300,0,2.25,1,2.05,1,-11.29,0
10/30/2009,-0.0200,0,-2.81,0,-2.51,0,23.95,1
11/2/2009,-0.2300,0,0.65,1,0.79,1,-2.97,0
11/3/2009,0.8300,1,0.24,1,-0.18,0,-3.26,0
11/4/2009,-0.2900,0,0.10,1,0.31,1,-3.78,0
11/5/2009,0.0700,1,1.92,1,2.08,1,-8.26,0
11/6/2009,-0.0700,0,0.25,1,0.17,1,-4.88,0
11/9/2009,0.3600,1,2.22,1,2.03,1,-4.30,0
11/10/2009,0.9100,1,-0.01,0,0.20,1,-1.34,0
11/11/2009,-0.3900,0,0.50,1,0.43,1,0.88,1
11/12/2009,0.0300,1,-1.03,0,-0.91,0,5.21,1
11/13/2009,0.1900,1,0.57,1,0.72,1,-3.63,0
11/16/2009,0.6100,1,1.45,1,1.33,1,-2.01,0
11/17/2009,0.0900,1,0.09,1,0.29,1,-2.10,0
11/18/2009,0.0800,1,-0.05,0,-0.11,0,-3.48,0
11/19/2009,1.4600,1,-1.34,0,-0.90,0,4.62,1
11/20/2009,0.1300,1,-0.32,0,-0.14,0,-1.94,0
11/23/2009,0.1400,1,1.36,1,1.29,1,-4.64,0
11/24/2009,-1.1800,0,-0.05,0,-0.16,0,-3.26,0
11/25/2009,-0.3600,0,0.45,1,0.29,1,0.05,1
11/27/2009,0.7400,1,-1.72,0,-1.48,0,20.80,1
11/30/2009,1.1500,1,0.38,1,0.34,1,-0.93,0
12/1/2009,-0.2500,0,1.21,1,1.23,1,-10.57,0
12/2/2009,1.3700,1,0.03,1,-0.18,0,-3.65,0
12/3/2009,2.2000,1,-0.84,0,-0.83,0,6.34,1
12/4/2009,-0.8100,0,0.55,1,0.22,1,-5.39,0
12/7/2009,-1.1000,0,-0.25,0,0.01,1,4.00,1
12/8/2009,1.2900,1,-1.03,0,-1.00,0,7.19,1
12/9/2009,0.6800,1,0.37,1,0.50,1,-4.35,0
12/10/2009,0.0800,1,0.58,1,0.67,1,-1.50,0
12/11/2009,-1.9100,0,0.37,1,0.63,1,-3.27,0
12/14/2009,1.0300,1,0.70,1,0.28,1,-2.04,0
12/15/2009,0.7100,1,-0.55,0,-0.47,0,1.61,1
12/16/2009,0.1500,1,0.11,1,-0.10,0,-4.42,0
12/17/2009,1.7100,1,-1.18,0,-1.27,0,9.59,1
12/18/2009,-0.9400,0,0.58,1,0.20,1,-3.69,0
12/21/2009,-0.2100,0,1.05,1,0.83,1,-5.49,0
12/22/2009,0.4200,1,0.36,1,0.49,1,-4.64,0
12/23/2009,0.8700,1,0.23,1,0.01,1,0.87,1
12/24/2009,1.0800,1,0.53,1,0.51,1,-1.22,0
12/28/2009,1.2600,1,0.12,1,0.26,1,2.36,1
12/29/2009,4.2600,1,-0.14,0,-0.02,0,0.40,1
12/30/2009,-3.0400,0,0.02,1,0.03,1,-0.25,0
12/31/2009,0.4600,1,-1.00,0,-1.14,0,8.62,1
1/4/2010,0.7700,1,1.60,1,1.50,1,-7.56,0
1/5/2010,0.0800,1,0.31,1,-0.11,0,-3.44,0
1/6/2010,0.3800,1,0.05,1,0.02,1,-0.98,0
1/7/2010,5.8400,1,0.40,1,0.31,1,-0.52,0
1/8/2010,-2.2100,0,0.29,1,0.11,1,-4.88,0
1/11/2010,-2.9900,0,0.17,1,0.43,1,-3.20,0
1/12/2010,-1.6300,0,-0.94,0,-0.34,0,3.99,1
1/13/2010,-2.1700,0,0.83,1,0.50,1,-2.19,0
1/14/2010,0.4500,1,0.24,1,0.28,1,-1.23,0
1/15/2010,-2.2700,0,-1.08,0,-0.94,0,1.59,1
1/19/2010,-2.2600,0,1.25,1,1.09,1,-1.84,0
1/20/2010,-0.3900,0,-1.06,0,-1.14,0,6.26,1
1/21/2010,0.9500,1,-1.89,0,-2.01,0,19.22,1
1/22/2010,0.1600,1,-2.21,0,-2.09,0,22.63,1
1/25/2010,0.7400,1,0.46,1,0.23,1,-6.96,0
1/26/2010,-3.0500,0,-0.42,0,-0.03,0,-3.38,0
1/27/2010,0.4200,1,0.49,1,0.41,1,-5.74,0
1/28/2010,-3.8000,0,-1.18,0,-1.13,0,2.55,1
1/29/2010,1.5100,1,-0.98,0,-0.52,0,3.75,1
2/1/2010,0.7900,1,1.43,1,1.17,1,-8.25,0
2/2/2010,-0.2500,0,1.30,1,1.09,1,-4.91,0
2/3/2010,2.9500,1,-0.55,0,-0.26,0,0.56,1
2/4/2010,0.0100,1,-3.11,0,-2.61,0,20.74,1
2/5/2010,2.0600,1,0.29,1,0.10,1,0.12,1
2/8/2010,-0.4800,0,-0.89,0,-1.04,0,1.53,1
2/9/2010,0.9200,1,1.30,1,1.52,1,-1.92,0
2/10/2010,-1.7000,0,-0.22,0,-0.20,0,-2.31,0
2/11/2010,-3.0300,0,0.97,1,1.05,1,-5.67,0
2/12/2010,-0.1500,0,-0.27,0,-0.44,0,-5.13,0
2/16/2010,1.7200,1,1.80,1,1.68,1,-2.11,0
2/17/2010,-0.9000,0,0.42,1,0.39,1,-2.38,0
2/18/2010,0.0000,0,0.66,1,0.81,1,-5.02,0
2/19/2010,-2.7800,0,0.22,1,0.09,1,-2.96,0
2/22/2010,-1.6500,0,-0.10,0,-0.18,0,-0.40,0
2/23/2010,-0.5300,0,-1.21,0,-0.97,0,7.17,1
2/24/2010,2.6400,1,0.97,1,0.89,1,-5.15,0
2/25/2010,0.6400,1,-0.21,0,-0.51,0,-0.84,0
2/26/2010,-0.3800,0,0.14,1,0.04,1,-2.99,0
3/1/2010,-1.0400,0,1.02,1,0.76,1,-1.23,0
3/2/2010,1.7500,1,0.23,1,0.02,1,-1.04,0
3/3/2010,2.0100,1,0.04,1,-0.09,0,-1.21,0
3/4/2010,1.5800,1,0.37,1,0.46,1,-0.58,0
3/5/2010,-1.6300,0,1.40,1,1.17,1,-6.94,0
3/8/2010,-2.0700,0,-0.02,0,-0.13,0,2.12,1
3/9/2010,2.9500,1,0.17,1,0.11,1,0.73,1
3/10/2010,-4.4300,0,0.45,1,0.03,1,3.63,1
3/11/2010,-0.4200,0,0.40,1,0.42,1,-2.75,0
3/12/2010,0.2600,1,-0.02,0,0.12,1,-2.66,0
3/15/2010,-0.4800,0,0.05,1,0.16,1,2.39,1
3/16/2010,-2.0600,0,0.78,1,0.41,1,-1.72,0
3/17/2010,-0.0400,0,0.58,1,0.45,1,-4.41,0
3/18/2010,2.8900,1,-0.03,0,0.42,1,-1.71,0
3/19/2010,-0.8800,0,-0.51,0,-0.35,0,2.11,1
3/22/2010,2.2900,1,0.51,1,0.41,1,-0.59,0
3/23/2010,-1.2500,0,0.72,1,0.95,1,-3.08,0
3/24/2010,-4.0800,0,-0.55,0,-0.48,0,7.34,1
3/25/2010,0.0300,1,-0.17,0,0.05,1,4.84,1
3/26/2010,-0.6700,0,0.07,1,0.08,1,-3.42,0
3/29/2010,-1.1600,0,0.57,1,0.42,1,-1.01,0
3/30/2010,-1.8100,0,0.00,0,0.11,1,-2.62,0
3/31/2010,0.3200,1,-0.33,0,-0.47,0,2.69,1
4/1/2010,-0.4700,0,0.74,1,0.65,1,-0.68,0
4/5/2010,-0.1100,0,0.79,1,0.43,1,-2.58,0
4/6/2010,0.0500,1,0.17,1,-0.03,0,-4.64,0
4/7/2010,0.6500,1,-0.59,0,-0.66,0,2.40,1
4/8/2010,-0.2100,0,0.34,1,0.27,1,-0.84,0
4/9/2010,0.1800,1,0.67,1,0.64,1,-2.06,0
4/12/2010,0.0800,1,0.18,1,0.08,1,-3.47,0
4/13/2010,-0.5100,0,0.07,1,0.12,1,3.98,1
4/14/2010,0.9800,1,1.12,1,0.94,1,-3.77,0
4/15/2010,-0.0800,0,0.08,1,0.19,1,1.92,1
4/16/2010,0.7600,1,-1.61,0,-1.13,0,15.54,1
4/19/2010,-1.4300,0,0.45,1,0.67,1,-5.56,0
4/20/2010,-0.0500,0,0.81,1,0.23,1,-9.28,0
4/21/2010,0.7500,1,-0.10,0,0.07,1,3.75,1
4/22/2010,-0.2300,0,0.23,1,0.08,1,0.92,1
4/23/2010,0.6100,1,0.71,1,0.63,1,0.91,1
4/26/2010,0.2700,1,-0.43,0,0.01,1,5.11,1
4/27/2010,-0.2500,0,-2.34,0,-1.90,0,30.57,1
4/28/2010,-0.9100,0,0.65,1,0.48,1,-7.58,0
4/29/2010,-1.1900,0,1.29,1,1.11,1,-12.52,0
4/30/2010,-0.2300,0,-1.66,0,-1.42,0,19.58,1
5/3/2010,0.2600,1,1.31,1,1.30,1,-8.44,0
5/4/2010,-0.2600,0,-2.38,0,-2.02,0,18.08,1
5/5/2010,0.9900,1,-0.66,0,-0.54,0,4.49,1
5/6/2010,0.1500,1,-3.24,0,-3.20,0,31.67,1
5/7/2010,0.9100,1,-1.53,0,-1.33,0,24.85,1
5/10/2010,0.8600,1,4.40,1,3.90,1,-29.57,0
5/11/2010,-0.1300,0,-0.34,0,-0.34,0,-1.80,0
5/12/2010,0.3800,1,1.37,1,1.38,1,-9.89,0
5/13/2010,0.4900,1,-1.21,0,-1.05,0,4.55,1
5/14/2010,0.0600,1,-1.88,0,-1.51,0,17.09,1
5/17/2010,0.1300,1,0.11,1,0.05,1,-1.28,0
5/18/2010,0.4200,1,-1.42,0,-1.08,0,8.79,1
5/19/2010,-1.2300,0,-0.51,0,-0.63,0,5.28,1
5/20/2010,0.6500,1,-3.90,0,-3.60,0,29.64,1
5/21/2010,-0.2500,0,1.50,1,1.25,1,-12.43,0
5/24/2010,-0.6700,0,-1.29,0,-1.24,0,-4.44,0
5/25/2010,0.0400,1,0.04,1,-0.23,0,-9.68,0
5/26/2010,0.0600,1,-0.57,0,-0.69,0,1.18,1
5/27/2010,0.3100,1,3.29,1,2.85,1,-15.25,0
5/28/2010,0.6100,1,-1.24,0,-1.19,0,8.05,1
6/1/2010,0.1200,1,-1.72,0,-1.11,0,10.82,1
6/2/2010,1.2400,1,2.58,1,2.25,1,-15.11,0
6/3/2010,0.4600,1,0.41,1,0.06,1,-2.35,0
6/4/2010,0.5500,1,-3.44,0,-3.15,0,20.43,1
6/7/2010,-1.3900,0,-1.35,0,-1.16,0,3.07,1
6/8/2010,-1.4600,0,1.10,1,1.26,1,-7.85,0
6/9/2010,-1.0100,0,-0.59,0,-0.41,0,0.09,1
6/10/2010,1.1700,1,2.95,1,2.76,1,-9.37,0
6/11/2010,-0.0100,0,0.44,1,0.38,1,-5.82,0
6/14/2010,0.2800,1,-0.18,0,-0.20,0,-0.73,0
6/15/2010,-0.0700,0,2.35,1,2.10,1,-9.48,0
6/16/2010,-0.3700,0,-0.06,0,0.05,1,0.19,1
6/17/2010,-0.0100,0,0.13,1,0.24,1,-3.36,0
6/18/2010,0.6300,1,0.13,1,0.16,1,-4.39,0
6/21/2010,-0.2600,0,-0.39,0,-0.08,0,3.88,1
6/22/2010,0.0300,1,-1.61,0,-1.43,0,8.72,1
6/23/2010,1.3900,1,-0.30,0,0.05,1,-0.52,0
6/24/2010,-0.5500,0,-1.68,0,-1.41,0,10.52,1
6/25/2010,0.0400,1,0.29,1,-0.09,0,-4.07,0
6/28/2010,0.8800,1,-0.20,0,-0.05,0,1.65,1
6/29/2010,1.3400,1,-3.10,0,-2.65,0,17.69,1
6/30/2010,1.1200,1,-1.01,0,-0.98,0,1.20,1
7/1/2010,-0.8600,0,-0.32,0,-0.42,0,-4.86,0
7/2/2010,0.7600,1,-0.47,0,-0.47,0,-8.34,0
7/6/2010,0.0900,1,0.54,1,0.59,1,-1.56,0
7/7/2010,0.7900,1,3.13,1,2.82,1,-9.48,0
7/8/2010,-1.5400,0,0.94,1,1.20,1,-4.21,0
7/9/2010,0.3900,1,0.72,1,0.58,1,-2.84,0
7/12/2010,-2.0900,0,0.07,1,0.18,1,-2.20,0
7/13/2010,-0.2600,0,1.54,1,1.44,1,0.53,1
7/14/2010,-0.8800,0,-0.02,0,0.04,1,1.34,1
7/15/2010,0.7200,1,0.12,1,-0.07,0,1.00,1
7/16/2010,-0.2800,0,-2.88,0,-2.52,0,4.42,1
7/19/2010,0.0100,1,0.60,1,0.56,1,-1.07,0
7/20/2010,-0.1900,0,1.14,1,0.74,1,-7.86,0
7/21/2010,0.8500,1,-1.28,0,-1.07,0,7.15,1
7/22/2010,-0.1100,0,2.25,1,1.99,1,-3.94,0
7/23/2010,0.5700,1,0.82,1,0.99,1,-4.71,0
7/26/2010,0.1900,1,1.12,1,0.97,1,-3.15,0
7/27/2010,0.1400,1,-0.10,0,0.12,1,2.02,1
7/28/2010,-0.7000,0,-0.69,0,-0.38,0,4.57,1
7/29/2010,0.6700,1,-0.42,0,-0.29,0,-0.49,0
7/30/2010,0.4100,1,0.01,1,-0.01,0,-2.61,0
8/2/2010,0.6900,1,2.20,1,1.99,1,-6.34,0
8/3/2010,1.5100,1,-0.48,0,-0.36,0,2.82,1
8/4/2010,-0.2700,0,0.61,1,0.41,1,-1.86,0
8/5/2010,0.8900,1,-0.13,0,-0.05,0,-0.50,0
8/6/2010,-0.5000,0,-0.37,0,-0.20,0,-1.63,0
8/9/2010,0.1300,1,0.55,1,0.42,1,1.84,1
8/10/2010,-0.0200,0,-0.60,0,-0.51,0,1.04,1
8/11/2010,0.6400,1,-2.82,0,-2.49,0,13.50,1
8/12/2010,-0.2100,0,-0.54,0,-0.57,0,1.34,1
8/13/2010,0.5400,1,-0.40,0,-0.16,0,1.98,1
8/16/2010,-0.3800,0,0.01,1,-0.01,0,-0.53,0
8/17/2010,-0.2100,0,1.22,1,1.01,1,-6.78,0
8/18/2010,0.6300,1,0.15,1,0.09,1,1.07,1
8/19/2010,-0.8100,0,-1.69,0,-1.39,0,7.52,1
8/20/2010,0.1100,1,-0.37,0,-0.56,0,-3.59,0
8/23/2010,-0.0300,0,-0.40,0,-0.38,0,0.67,1
8/24/2010,0.8900,1,-1.45,0,-1.32,0,7.01,1
8/25/2010,1.0000,1,0.33,1,0.20,1,-2.77,0
8/26/2010,0.0200,1,-0.77,0,-0.74,0,2.51,1
8/27/2010,0.7700,1,1.66,1,1.65,1,-10.67,0
8/30/2010,1.7100,1,-1.47,0,-1.39,0,11.29,1
8/31/2010,-0.1800,0,0.04,1,0.05,1,-4.26,0
9/1/2010,-0.4200,0,2.95,1,2.54,1,-8.29,0
9/2/2010,0.9100,1,0.91,1,0.49,1,-2.93,0
9/3/2010,-0.7500,0,1.32,1,1.24,1,-8.11,0
9/7/2010,0.0200,1,-1.15,0,-1.03,0,11.68,1
9/8/2010,1.6400,1,0.64,1,0.45,1,-2.31,0
9/9/2010,-0.0500,0,0.48,1,0.27,1,-1.89,0
9/10/2010,-1.7000,0,0.49,1,0.46,1,-3.59,0
9/13/2010,-0.2500,0,1.11,1,0.78,1,-3.55,0
9/14/2010,-1.2700,0,-0.07,0,-0.17,0,1.65,1
9/15/2010,-0.7800,0,0.35,1,0.44,1,2.50,1
9/16/2010,0.1900,1,-0.04,0,0.21,1,-1.72,0
9/17/2010,1.7400,1,0.08,1,0.12,1,1.34,1
9/20/2010,0.7000,1,1.52,1,1.37,1,-2.32,0
9/21/2010,-0.4700,0,-0.26,0,0.07,1,3.95,1
9/22/2010,1.0100,1,-0.48,0,-0.20,0,0.72,1
9/23/2010,-0.3600,0,-0.83,0,-0.72,0,6.04,1
9/24/2010,2.0700,1,2.12,1,1.86,1,-9.05,0
9/27/2010,0.5100,1,-0.57,0,-0.44,0,3.82,1
9/28/2010,-2.2800,0,0.49,1,0.43,1,0.27,1
9/29/2010,0.4900,1,-0.26,0,-0.21,0,2.88,1
9/30/2010,1.4500,1,-0.31,0,-0.44,0,1.94,1
10/1/2010,1.0400,1,0.44,1,0.39,1,-5.06,0
10/4/2010,-2.7400,0,-0.80,0,-0.72,0,4.58,1
10/5/2010,1.6400,1,2.09,1,1.80,1,-7.52,0
10/6/2010,-0.8500,0,-0.07,0,0.21,1,-1.24,0
10/7/2010,-2.9300,0,-0.16,0,-0.17,0,0.33,1
10/8/2010,3.2600,1,0.61,1,0.53,1,-3.94,0
10/11/2010,-2.4300,0,0.01,1,0.04,1,-8.45,0
10/12/2010,-2.4300,0,0.38,1,0.09,1,-0.16,0
10/13/2010,-0.2600,0,0.71,1,0.69,1,0.74,1
10/14/2010,0.2700,1,-0.36,0,-0.01,0,4.25,1
10/15/2010,-1.8400,0,0.20,1,-0.29,0,-4.28,0
10/18/2010,0.0000,0,0.72,1,0.73,1,0.32,1
10/19/2010,-0.2000,0,-1.59,0,-1.48,0,8.07,1
10/20/2010,-0.1900,0,1.05,1,1.18,1,-4.07,0
10/21/2010,-1.0200,0,0.18,1,0.35,1,-2.63,0
10/22/2010,0.3600,1,0.24,1,-0.13,0,-2.54,0
10/25/2010,1.7900,1,0.21,1,0.28,1,5.70,1
10/26/2010,0.4200,1,0.00,0,0.05,1,1.86,1
10/27/2010,0.3300,1,-0.27,0,-0.39,0,2.42,1
10/28/2010,0.5600,1,0.11,1,-0.11,0,0.82,1
10/29/2010,1.0000,1,-0.04,0,0.04,1,1.53,1
11/1/2010,1.0800,1,0.09,1,0.06,1,2.97,1
11/2/2010,-1.2700,0,0.78,1,0.58,1,-1.19,0
11/3/2010,-0.7800,0,0.37,1,0.24,1,-9.32,0
11/4/2010,-1.2300,0,1.93,1,1.96,1,-5.32,0
11/5/2010,1.1500,1,0.39,1,0.08,1,-1.40,0
11/8/2010,1.7700,1,-0.21,0,-0.33,0,0.16,1
11/9/2010,-0.1100,0,-0.81,0,-0.53,0,4.32,1
11/10/2010,-0.2200,0,0.44,1,0.09,1,-3.20,0
11/11/2010,-0.0700,0,-0.42,0,-0.65,0,0.92,1
11/12/2010,-0.2300,0,-1.18,0,-0.80,0,10.57,1
11/15/2010,1.5800,1,-0.12,0,0.08,1,-1.99,0
11/16/2010,1.8500,1,-1.62,0,-1.59,0,11.78,1
11/17/2010,0.4500,1,0.02,1,-0.14,0,-3.63,0
11/18/2010,1.5600,1,1.54,1,1.57,1,-13.83,0
11/19/2010,1.4400,1,0.25,1,0.20,1,-3.79,0
11/22/2010,-3.9000,0,-0.16,0,-0.22,0,1.83,1
11/23/2010,-0.9000,0,-1.43,0,-1.27,0,12.30,1
11/24/2010,2.1300,1,1.49,1,1.37,1,-5.19,0
11/26/2010,-3.7800,0,-0.75,0,-0.85,0,13.60,1
11/29/2010,-1.9600,0,-0.14,0,-0.36,0,-3.11,0
11/30/2010,-0.3500,0,-0.61,0,-0.42,0,9.34,1
12/1/2010,0.1200,1,2.16,1,2.27,1,-9.26,0
12/2/2010,-0.8600,0,1.28,1,0.95,1,-9.22,0
12/3/2010,-0.5200,0,0.26,1,0.17,1,-7.12,0
12/6/2010,1.2800,1,-0.13,0,-0.17,0,0.06,1
12/7/2010,-0.0500,0,0.05,1,-0.03,0,-0.17,0
12/8/2010,-0.6100,0,0.37,1,0.12,1,-1.39,0
12/9/2010,0.7100,1,0.38,1,-0.02,0,-2.76,0
12/10/2010,0.9800,1,0.60,1,0.35,1,2.09,1
12/13/2010,0.5500,1,0.00,0,0.16,1,-0.34,0
12/14/2010,-0.0300,0,0.09,1,0.42,1,0.34,1
12/15/2010,1.0300,1,-0.51,0,-0.17,0,1.87,1
12/16/2010,-0.5100,0,0.62,1,0.36,1,-3.07,0
12/17/2010,0.6800,1,0.08,1,-0.06,0,-7.36,0
12/20/2010,0.8100,1,0.25,1,-0.12,0,1.86,1
12/21/2010,-0.1400,0,0.60,1,0.48,1,0.49,1
12/22/2010,0.0900,1,0.34,1,0.23,1,-6.31,0
12/23/2010,0.2900,1,-0.16,0,0.12,1,6.60,1
12/27/2010,0.8300,1,0.06,1,-0.16,0,7.29,1
12/28/2010,0.1800,1,0.08,1,0.18,1,-0.85,0
12/29/2010,0.8400,1,0.10,1,0.09,1,-1.37,0
12/30/2010,1.5000,1,-0.15,0,-0.14,0,1.39,1
12/31/2010,-0.6700,0,-0.02,0,0.07,1,1.31,1
1/3/2011,0.1600,1,1.13,1,0.81,1,-0.79,0
1/4/2011,0.0400,1,-0.13,0,0.18,1,-1.31,0
1/5/2011,-0.3400,0,0.50,1,0.27,1,-2.07,0
1/6/2011,-0.0800,0,-0.21,0,-0.22,0,2.23,1
1/7/2011,0.0600,1,-0.18,0,-0.19,0,-1.49,0
1/10/2011,-0.0400,0,-0.14,0,-0.32,0,2.33,1
1/11/2011,-0.4400,0,0.37,1,0.30,1,-3.71,0
1/12/2011,0.8400,1,0.90,1,0.72,1,-3.85,0
1/13/2011,1.1700,1,-0.17,0,-0.20,0,0.92,1
1/14/2011,-0.2800,0,0.74,1,0.47,1,-5.67,0
1/18/2011,0.2000,1,0.14,1,0.43,1,2.65,1
1/19/2011,-0.1900,0,-1.01,0,-0.11,0,9.07,1
1/20/2011,0.5100,1,-0.13,0,-0.02,0,3.93,1
1/21/2011,0.4000,1,0.24,1,0.41,1,2.67,1
1/24/2011,0.5400,1,0.58,1,0.92,1,-4.44,0
1/25/2011,0.2100,1,0.03,1,-0.03,0,-0.34,0
1/26/2011,-0.1900,0,0.42,1,0.07,1,-5.40,0
1/27/2011,-1.0500,0,0.22,1,0.04,1,-2.94,0
1/28/2011,-0.3800,0,-1.79,0,-1.39,0,24.09,1
1/31/2011,0.7300,1,0.77,1,0.58,1,-2.54,0
2/1/2011,-1.2700,0,1.67,1,1.25,1,-9.73,0
2/2/2011,0.4900,1,-0.27,0,0.02,1,-1.87,0
2/3/2011,-0.1500,0,0.24,1,0.17,1,-3.53,0
2/4/2011,0.3200,1,0.29,1,0.25,1,-4.55,0
2/7/2011,0.0700,1,0.62,1,0.57,1,2.20,1
2/8/2011,1.0600,1,0.42,1,0.59,1,-2.89,0
2/9/2011,0.1200,1,-0.28,0,0.06,1,0.38,1
2/10/2011,-0.1500,0,0.07,1,-0.09,0,1.39,1
2/11/2011,1.3000,1,0.55,1,0.36,1,-2.49,0
2/14/2011,-0.4700,0,0.24,1,-0.04,0,1.66,1
2/15/2011,-0.2900,0,-0.32,0,-0.34,0,2.63,1
2/16/2011,0.1000,1,0.63,1,0.50,1,2.14,1
2/17/2011,0.0100,1,0.31,1,0.24,1,-0.78,0
2/18/2011,-0.5800,0,0.19,1,0.59,1,-0.96,0
2/22/2011,0.3200,1,-2.05,0,-1.44,0,26.60,1
2/23/2011,-0.2700,0,-0.61,0,-0.88,0,6.39,1
2/24/2011,0.3300,1,-0.10,0,-0.31,0,-3.66,0
2/25/2011,0.7400,1,1.06,1,0.51,1,-9.85,0
2/28/2011,-0.0200,0,0.56,1,0.79,1,-4.53,0
3/1/2011,-0.1700,0,-1.57,0,-1.38,0,14.50,1
3/2/2011,0.4300,1,0.16,1,0.07,1,-1.48,0
3/3/2011,-0.0300,0,1.72,1,1.59,1,-10.14,0
3/4/2011,2.2000,1,-0.74,0,-0.72,0,2.47,1
3/7/2011,-0.1100,0,-0.83,0,-0.66,0,8.39,1
3/8/2011,-0.5200,0,0.89,1,1.03,1,-4.07,0
3/9/2011,0.1800,1,-0.14,0,-0.01,0,2.02,1
3/10/2011,-0.6400,0,-1.89,0,-1.87,0,8.21,1
3/11/2011,0.3600,1,0.71,1,0.50,1,-8.23,0
3/14/2011,-0.2900,0,-0.60,0,-0.43,0,5.23,1
3/15/2011,0.0100,1,-1.12,0,-1.15,0,15.10,1
3/16/2011,-0.0100,0,-1.95,0,-2.04,0,20.89,1
3/17/2011,0.2800,1,1.34,1,1.39,1,-10.31,0
3/18/2011,0.2200,1,0.43,1,0.71,1,-7.32,0
3/21/2011,-0.1800,0,1.50,1,1.50,1,-15.67,0
3/22/2011,0.2500,1,-0.36,0,-0.15,0,-1.94,0
3/23/2011,0.1100,1,0.29,1,0.56,1,-5.15,0
3/24/2011,-0.1600,0,0.93,1,0.70,1,-6.10,0
3/25/2011,0.0700,1,0.32,1,0.41,1,-0.50,0
3/28/2011,0.7800,1,-0.27,0,-0.19,0,8.54,1
3/29/2011,0.0400,1,0.71,1,0.67,1,-6.58,0
3/30/2011,0.2300,1,0.67,1,0.58,1,-2.48,0
3/31/2011,0.3200,1,-0.18,0,-0.25,0,0.17,1
